date,US
8/18/2013,10.30239709
8/19/2013,10.19321329
8/20/2013,10.55109146
8/21/2013,10.92476502
8/22/2013,11.39535444
8/23/2013,11.30842938
8/24/2013,11.09041671
8/25/2013,10.69088585
8/26/2013,10.67133511
8/27/2013,11.27544685
8/28/2013,11.69017548
8/29/2013,11.94668083
8/30/2013,11.96303685
8/31/2013,11.51384463
9/1/2013,11.19711693
9/2/2013,10.93939707
9/3/2013,11.69387471
9/4/2013,13.28454613
9/5/2013,14.24159237
9/6/2013,14.3564331
9/7/2013,13.91340883
9/8/2013,13.40151303
9/9/2013,13.8126713
9/10/2013,15.0283244
9/11/2013,15.53534695
9/12/2013,15.74465479
9/13/2013,15.22358549
9/14/2013,14.90429224
9/15/2013,14.45310095
9/16/2013,15.35189079
9/17/2013,16.09503163
9/18/2013,16.53055431
9/19/2013,17.20429107
9/20/2013,16.96835276
9/21/2013,17.05336096
9/22/2013,17.01510053
9/23/2013,16.80909271
9/24/2013,17.91218856
9/25/2013,18.77562983
9/26/2013,19.62517907
9/27/2013,20.2900218
9/28/2013,20.02515674
10/13/2013,19.56883716
10/14/2013,20.29926147
10/15/2013,20.88827528
10/16/2013,21.23635738
10/17/2013,20.21767794
10/18/2013,19.64373933
10/19/2013,18.82851848
10/20/2013,18.06264095
10/21/2013,19.7960013
10/22/2013,19.7978889
10/23/2013,20.43654574
10/24/2013,21.53747189
10/25/2013,21.44597975
10/26/2013,21.31469227
10/27/2013,20.87017653
10/28/2013,21.10523259
10/29/2013,21.55844145
10/30/2013,22.55706654
10/31/2013,22.99907086
11/1/2013,22.50128721
11/2/2013,21.86626602
11/3/2013,20.56958325
11/4/2013,20.95824167
11/5/2013,21.57414396
11/6/2013,22.47261494
11/7/2013,23.24739966
11/8/2013,23.08557128
11/9/2013,22.48175102
11/10/2013,21.85248435
11/11/2013,21.81057758
11/12/2013,22.26253866
11/13/2013,22.83271663
11/14/2013,14.13918557
11/15/2013,13.98750162
11/16/2013,13.04488448
11/17/2013,12.146013
11/18/2013,22.94551502
11/19/2013,24.0625802
11/20/2013,24.50126682
11/21/2013,24.85576802
11/22/2013,24.89588718
11/23/2013,24.09392771
11/24/2013,23.79846666
11/25/2013,24.07264225
11/26/2013,24.20711746
11/27/2013,24.21474873
11/28/2013,24.03804701
11/29/2013,22.82219807
11/30/2013,22.82097037
12/8/2013,22.28294212
12/9/2013,24.4154596
12/10/2013,26.10364621
12/11/2013,26.40606506
12/12/2013,28.61184525
12/13/2013,28.93262034
12/14/2013,28.26368635
12/15/2013,28.46640215
12/16/2013,28.99195872
12/17/2013,30.94447741
12/18/2013,33.19266682
12/19/2013,35.79706977
12/20/2013,38.02309408
12/21/2013,38.91763235
12/22/2013,39.95001744
12/23/2013,41.85629306
12/24/2013,41.25161598
12/25/2013,39.17844321
12/26/2013,41.36886747
12/27/2013,43.88863461
12/28/2013,46.55966046
12/29/2013,49.61528315
12/30/2013,52.10538176
12/31/2013,52.16505225
1/1/2014,51.08811117
1/2/2014,51.64094358
1/3/2014,51.70558684
1/4/2014,51.79694356
1/5/2014,53.75349183
1/6/2014,54.50545427
1/7/2014,53.3434166
1/8/2014,53.67385617
1/9/2014,53.52498271
1/10/2014,54.59847654
1/11/2014,55.12345463
1/12/2014,54.44140279
1/13/2014,54.20463859
1/14/2014,51.87665237
1/15/2014,51.04619209
1/16/2014,50.63308928
1/17/2014,50.4241695
1/18/2014,49.63296395
1/19/2014,49.54175124
1/20/2014,49.38405566
1/21/2014,46.88719513
1/22/2014,46.11487956
1/23/2014,45.460018
1/24/2014,44.55344674
1/25/2014,43.77542079
1/26/2014,43.26927854
1/27/2014,42.92810538
1/28/2014,41.99323484
1/29/2014,41.88203904
1/30/2014,41.79075075
1/31/2014,40.4116098
2/1/2014,39.41541272
2/2/2014,38.08075029
2/3/2014,37.10285686
2/4/2014,36.67338316
2/5/2014,36.39807818
2/6/2014,36.73816115
2/7/2014,36.00258102
2/8/2014,34.52589335
2/9/2014,33.72810241
2/10/2014,32.67367431
2/11/2014,31.9132485
2/12/2014,32.0987227
2/13/2014,31.98089823
2/14/2014,31.02623678
2/15/2014,30.19182621
2/16/2014,29.65630705
2/17/2014,29.39188638
2/18/2014,30.16066166
2/19/2014,29.82023954
2/20/2014,29.87749448
2/21/2014,29.9559535
2/22/2014,28.87618517
2/23/2014,28.8401031
2/24/2014,28.64470756
2/25/2014,27.54876181
2/26/2014,27.17357808
2/27/2014,26.93356214
2/28/2014,25.48818062
3/1/2014,24.77492645
3/2/2014,24.48831365
3/3/2014,24.28659822
3/4/2014,24.64762789
3/5/2014,24.55222364
3/6/2014,24.35678645
3/7/2014,24.48718539
3/8/2014,24.20552173
3/9/2014,23.8313164
3/10/2014,23.92165433
3/11/2014,23.30081356
3/12/2014,23.59086435
3/13/2014,23.67462179
3/14/2014,23.69813617
3/15/2014,23.37142504
3/16/2014,23.10033869
3/17/2014,23.35957797
3/18/2014,23.15291848
3/19/2014,23.45769937
3/20/2014,22.83429665
3/21/2014,22.33617443
3/22/2014,21.86439026
3/23/2014,21.09184291
3/24/2014,21.29115557
3/25/2014,21.14486662
3/26/2014,21.63620679
3/27/2014,22.06692424
3/28/2014,22.54149916
3/29/2014,22.96403614
3/30/2014,22.67468768
3/31/2014,22.5085157
4/1/2014,21.94303531
4/2/2014,21.90585137
4/3/2014,21.66196234
4/4/2014,21.24175027
4/5/2014,21.26783706
